price_name,BB_BUY_15m,BB_BUY_30m,BB_BUY_1h,BB_BUY_1D,BB_BUY_1W,BB_SELL_15m,BB_SELL_30m,BB_SELL_1h,BB_SELL_1D,BB_SELL_1W,RSI_15m,RSI_30m,RSI_1h,RSI_1D,RSI_1W,MACD_15m,MACD_30m,MACD_1h,MACD_1D,MACD_1W
NOK/SEK,0,0,0,0,0,0,0,0,1,0,27.162977867202905,36.88811188811127,31.03953147877028,80.41934392965857,55.86641710176337,False,False,False,False,False
NZD/CAD,0,0,0,0,0,0,0,0,0,0,41.58415841584166,63.20166320166288,65.83011583011536,75.21929824561425,69.0575479566306,False,False,False,False,False
NZD/CHF,0,0,0,0,0,0,0,0,0,0,72.85714285714468,83.62068965517324,73.23232323232425,74.56100855470534,60.33362428474452,False,False,False,False,False
NZD/JPY,0,0,0,0,0,0,0,0,0,0,78.28947368420985,88.2556131260797,88.08290155440356,97.34001542020036,55.674426566244406,False,False,False,False,False
NZD/USD,0,0,0,0,0,0,0,0,0,0,88.54166666666482,94.8905109489041,94.8905109489041,91.64891350660386,68.10054153468896,False,False,False,False,False
SGD/HKD,0,0,0,0,0,0,0,0,0,0,91.66666666666491,95.39473684210435,95.39473684210435,72.37026647966299,52.2133938706016,False,False,False,False,False
SGD/JPY,0,0,0,0,0,0,0,0,1,0,62.72727272727543,79.18781725888515,44.10112359550531,86.99095022624412,41.20753639737369,False,False,False,False,False
TRY/JPY,0,0,0,0,0,0,0,0,1,0,50.0,29.090909090909268,17.391304347826004,91.32730015082954,32.02856387199154,False,False,False,False,False
USD/CAD,0,0,0,0,0,0,0,0,0,0,2.643171806170051,1.6194331983822048,1.6194331983822048,3.4910277324637002,46.0641200545703,False,False,False,False,False
USD/CHF,0,0,0,0,0,0,0,0,0,0,2.118644067796451,1.0752688172041984,0.8223684210525445,32.157464212678995,65.11466296038918,False,False,False,False,False
USD/CNH,0,0,0,0,0,0,0,0,0,0,5.054509415264529,2.674357629786202,2.674357629786202,36.92541471444863,77.34378000537674,False,False,False,False,False
USD/CZK,1,1,1,0,0,0,0,0,0,0,6.952396531982216,5.3934010152293075,4.697414022927406,32.72012217641744,71.83609205300205,False,False,False,False,False
USD/DKK,1,1,1,0,0,0,0,0,0,0,11.431270666035903,10.808314087760797,8.283185840708814,16.672970247100206,57.295318821036375,False,False,False,False,False
USD/HKD,0,0,0,0,0,0,0,0,0,0,42.857142856780335,26.315789473635004,7.462686567152307,0.8787346221421373,0.3274662300453518,False,False,False,False,False
USD/HUF,1,1,0,0,0,0,0,0,0,0,10.819327731093367,17.618586640848676,12.338983050845,7.533136263945515,55.07984979160646,False,False,False,False,False
USD/ILS,0,0,1,0,0,0,0,0,0,0,34.905660377360384,27.205882352942524,21.51162790697784,24.704336399474627,18.62724392819431,False,False,False,False,False
USD/JPY,0,0,0,0,0,0,0,0,1,0,17.02127659574259,12.499999999998613,7.3059360730585166,75.84564078132424,57.92428907806557,False,False,False,False,False
USD/MXN,0,0,0,0,0,0,0,0,0,0,2.0993452889257633,0.8927407793559611,0.8323207776425658,0.1774128799160397,66.4350825190699,False,False,False,False,False
USD/NOK,0,0,0,0,0,0,0,0,0,0,31.07622721830555,22.12798039770128,22.35416077655322,4.6920351145855035,25.53614500388548,False,False,False,False,False
USD/PLN,0,1,1,1,0,0,0,0,0,0,3.831598864713453,3.468950749466509,3.4047919293838684,3.1477927063341493,69.64279238440604,False,False,False,False,False
USD/RUB,0,0,1,1,0,0,0,0,0,0,10.165484633568184,4.048964218455015,3.905540417801289,0.973511433099214,42.615862033881044,False,False,False,False,False
USD/SEK,1,1,1,0,0,0,0,0,0,0,12.207602339183032,9.553089382124243,8.901385269511994,1.8844110481670455,26.188243175347527,False,False,False,False,False
USD/SGD,0,0,0,0,0,0,0,0,0,0,12.669683257920916,7.0351758793986665,7.0351758793986665,25.319267073848412,43.43707713125853,False,False,False,False,False
USD/THB,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33.12318137730356,False,False,False,False,False
